id,user_id,type,title,message,related_id,meta_data,read,created_at,updated_at,expires_at
1229,3,reservation_request,Nueva solicitud de reservación,"Alberto  Moreno (Comisionista) envió una solicitud de reservación para Acapulco de Juarez, Guerrero - Terminal condesa → Coyoacan, Ciudad de Mexico - Taxqueña",410,"{""requestId"":410,""tripId"":2098,""requesterName"":""Alberto  Moreno (Comisionista)"",""amount"":450,""passengers"":1}",false,2025-08-05 22:09:45.071563,2025-08-05 22:09:45.071563,2025-08-08 22:09:45.059
1230,6,reservation_request,Nueva solicitud de reservación,"Alberto  Moreno (Comisionista) envió una solicitud de reservación para Acapulco de Juarez, Guerrero - Terminal condesa → Coyoacan, Ciudad de Mexico - Taxqueña",410,"{""requestId"":410,""tripId"":2098,""requesterName"":""Alberto  Moreno (Comisionista)"",""amount"":450,""passengers"":1}",false,2025-08-05 22:09:45.181496,2025-08-05 22:09:45.181496,2025-08-08 22:09:45.059
1231,4,reservation_request,Nueva solicitud de reservación,"Alberto  Moreno (Comisionista) envió una solicitud de reservación para Acapulco de Juarez, Guerrero - Terminal condesa → Coyoacan, Ciudad de Mexico - Taxqueña",411,"{""requestId"":411,""tripId"":""2098"",""requesterName"":""Alberto  Moreno (Comisionista)"",""amount"":450,""passengers"":1}",false,2025-08-05 22:15:42.946253,2025-08-05 22:15:42.946253,2025-08-08 22:15:42.935
1232,6,reservation_request,Nueva solicitud de reservación,"Alberto  Moreno (Comisionista) envió una solicitud de reservación para Acapulco de Juarez, Guerrero - Terminal condesa → Coyoacan, Ciudad de Mexico - Taxqueña",411,"{""requestId"":411,""tripId"":""2098"",""requesterName"":""Alberto  Moreno (Comisionista)"",""amount"":450,""passengers"":1}",false,2025-08-05 22:15:42.946905,2025-08-05 22:15:42.946905,2025-08-08 22:15:42.935
1233,3,reservation_request,Nueva solicitud de reservación,"Alberto  Moreno (Comisionista) envió una solicitud de reservación para Acapulco de Juarez, Guerrero - Terminal condesa → Coyoacan, Ciudad de Mexico - Taxqueña",411,"{""requestId"":411,""tripId"":""2098"",""requesterName"":""Alberto  Moreno (Comisionista)"",""amount"":450,""passengers"":1}",false,2025-08-05 22:15:42.94789,2025-08-05 22:15:42.94789,2025-08-08 22:15:42.935
1234,6,reservation_request,Nueva solicitud de reservación,"Alberto  Moreno (Comisionista) envió una solicitud de reservación para Coyoacan, Ciudad de Mexico - Taxqueña → Acapulco de Juarez, Guerrero - Terminal condesa",412,"{""requestId"":412,""tripId"":2395,""requesterName"":""Alberto  Moreno (Comisionista)"",""amount"":450,""passengers"":1}",false,2025-08-05 22:17:03.507151,2025-08-05 22:17:03.507151,2025-08-08 22:17:03.496
1235,4,reservation_request,Nueva solicitud de reservación,"Alberto  Moreno (Comisionista) envió una solicitud de reservación para Coyoacan, Ciudad de Mexico - Taxqueña → Acapulco de Juarez, Guerrero - Terminal condesa",412,"{""requestId"":412,""tripId"":2395,""requesterName"":""Alberto  Moreno (Comisionista)"",""amount"":450,""passengers"":1}",true,2025-08-05 22:17:03.507546,2025-08-05 22:17:03.507546,2025-08-08 22:17:03.496
1236,3,reservation_request,Nueva solicitud de reservación,"Alberto  Moreno (Comisionista) envió una solicitud de reservación para Coyoacan, Ciudad de Mexico - Taxqueña → Acapulco de Juarez, Guerrero - Terminal condesa",412,"{""requestId"":412,""tripId"":2395,""requesterName"":""Alberto  Moreno (Comisionista)"",""amount"":450,""passengers"":1}",false,2025-08-05 22:17:03.507447,2025-08-05 22:17:03.507447,2025-08-08 22:17:03.496
1237,3,reservation_request,Nueva solicitud de reservación,"Alberto  Moreno (Comisionista) envió una solicitud de reservación para Coyoacan, Ciudad de Mexico - Taxqueña → Acapulco de Juarez, Guerrero - Terminal condesa",413,"{""requestId"":413,""tripId"":2247,""requesterName"":""Alberto  Moreno (Comisionista)"",""amount"":450,""passengers"":1}",false,2025-08-05 22:21:05.437064,2025-08-05 22:21:05.437064,2025-08-08 22:21:05.427
1238,4,reservation_request,Nueva solicitud de reservación,"Alberto  Moreno (Comisionista) envió una solicitud de reservación para Coyoacan, Ciudad de Mexico - Taxqueña → Acapulco de Juarez, Guerrero - Terminal condesa",413,"{""requestId"":413,""tripId"":2247,""requesterName"":""Alberto  Moreno (Comisionista)"",""amount"":450,""passengers"":1}",true,2025-08-05 22:21:05.543105,2025-08-05 22:21:05.543105,2025-08-08 22:21:05.428
1239,6,reservation_request,Nueva solicitud de reservación,"Alberto  Moreno (Comisionista) envió una solicitud de reservación para Coyoacan, Ciudad de Mexico - Taxqueña → Acapulco de Juarez, Guerrero - Terminal condesa",413,"{""requestId"":413,""tripId"":2247,""requesterName"":""Alberto  Moreno (Comisionista)"",""amount"":450,""passengers"":1}",false,2025-08-05 22:21:05.553839,2025-08-05 22:21:05.553839,2025-08-08 22:21:05.428
1240,3,reservation_request,Nueva solicitud de reservación,"Paloma Cuenca envió una solicitud de reservación para Coyoacan, Ciudad de Mexico - Taxqueña → Acapulco de Juarez, Guerrero - Terminal condesa",414,"{""requestId"":414,""tripId"":2321,""requesterName"":""Paloma Cuenca"",""amount"":450,""passengers"":1}",false,2025-08-06 14:24:32.3987,2025-08-06 14:24:32.3987,2025-08-09 14:24:32.389
1241,4,reservation_request,Nueva solicitud de reservación,"Paloma Cuenca envió una solicitud de reservación para Coyoacan, Ciudad de Mexico - Taxqueña → Acapulco de Juarez, Guerrero - Terminal condesa",414,"{""requestId"":414,""tripId"":2321,""requesterName"":""Paloma Cuenca"",""amount"":450,""passengers"":1}",false,2025-08-06 14:24:32.512455,2025-08-06 14:24:32.512455,2025-08-09 14:24:32.39
1242,6,reservation_request,Nueva solicitud de reservación,"Paloma Cuenca envió una solicitud de reservación para Coyoacan, Ciudad de Mexico - Taxqueña → Acapulco de Juarez, Guerrero - Terminal condesa",414,"{""requestId"":414,""tripId"":2321,""requesterName"":""Paloma Cuenca"",""amount"":450,""passengers"":1}",false,2025-08-06 14:24:32.512792,2025-08-06 14:24:32.512792,2025-08-09 14:24:32.39
1243,3,reservation_request,Nueva solicitud de reservación,"Alberto  Moreno (Comisionista) envió una solicitud de reservación para Coyoacan, Ciudad de Mexico - Taxqueña → Acapulco de Juarez, Guerrero - Terminal condesa",415,"{""requestId"":415,""tripId"":2321,""requesterName"":""Alberto  Moreno (Comisionista)"",""amount"":450,""passengers"":1}",false,2025-08-06 15:16:06.438923,2025-08-06 15:16:06.438923,2025-08-09 15:16:06.43
1244,6,reservation_request,Nueva solicitud de reservación,"Alberto  Moreno (Comisionista) envió una solicitud de reservación para Coyoacan, Ciudad de Mexico - Taxqueña → Acapulco de Juarez, Guerrero - Terminal condesa",415,"{""requestId"":415,""tripId"":2321,""requesterName"":""Alberto  Moreno (Comisionista)"",""amount"":450,""passengers"":1}",false,2025-08-06 15:16:06.439025,2025-08-06 15:16:06.439025,2025-08-09 15:16:06.431
1245,4,reservation_request,Nueva solicitud de reservación,"Alberto  Moreno (Comisionista) envió una solicitud de reservación para Coyoacan, Ciudad de Mexico - Taxqueña → Acapulco de Juarez, Guerrero - Terminal condesa",415,"{""requestId"":415,""tripId"":2321,""requesterName"":""Alberto  Moreno (Comisionista)"",""amount"":450,""passengers"":1}",false,2025-08-06 15:16:06.440515,2025-08-06 15:16:06.440515,2025-08-09 15:16:06.431
1246,6,reservation_request,Nueva solicitud de reservación,"Alberto  Moreno (Comisionista) envió una solicitud de reservación para Coyoacan, Ciudad de Mexico - Taxqueña → Acapulco de Juarez, Guerrero - Terminal condesa",416,"{""requestId"":416,""tripId"":""2321"",""requesterName"":""Alberto  Moreno (Comisionista)"",""amount"":400,""passengers"":1}",false,2025-08-06 15:18:30.988292,2025-08-06 15:18:30.988292,2025-08-09 15:18:30.982
1247,4,reservation_request,Nueva solicitud de reservación,"Alberto  Moreno (Comisionista) envió una solicitud de reservación para Coyoacan, Ciudad de Mexico - Taxqueña → Acapulco de Juarez, Guerrero - Terminal condesa",416,"{""requestId"":416,""tripId"":""2321"",""requesterName"":""Alberto  Moreno (Comisionista)"",""amount"":400,""passengers"":1}",false,2025-08-06 15:18:30.989093,2025-08-06 15:18:30.989093,2025-08-09 15:18:30.982
1248,3,reservation_request,Nueva solicitud de reservación,"Alberto  Moreno (Comisionista) envió una solicitud de reservación para Coyoacan, Ciudad de Mexico - Taxqueña → Acapulco de Juarez, Guerrero - Terminal condesa",416,"{""requestId"":416,""tripId"":""2321"",""requesterName"":""Alberto  Moreno (Comisionista)"",""amount"":400,""passengers"":1}",false,2025-08-06 15:18:30.989995,2025-08-06 15:18:30.989995,2025-08-09 15:18:30.982
